frequency_ghz,q,eligible_train_n,neighborhood_lower_inclusive,neighborhood_upper_exclusive,local_train_n,fraction_of_eligible_train,count_status,nominal_q_in_marginal_range,q_train_min,q_train_max,below_window_n,above_or_equal_window_n
7,19,6015,18.5,19.5,0,0.0,EMPTY,False,6.903879084973701,15.118777789806,1034,0
7,20,6015,19.5,20.5,0,0.0,EMPTY,False,6.903879084973701,15.118777789806,1034,0
8,10,6014,9.5,10.5,871,0.14482873295643497,COUNT_ONLY,True,7.6907609446412595,16.14920308513192,355,0
8,11,6014,10.5,11.5,1274,0.2118390422347855,COUNT_ONLY,True,7.6907609446412595,16.14920308513192,355,0
8,12,6014,11.5,12.5,1549,0.2575656800798138,COUNT_ONLY,True,7.6907609446412595,16.14920308513192,355,0
8,13,6014,12.5,13.5,1297,0.2156634519454606,COUNT_ONLY,True,7.6907609446412595,16.14920308513192,355,0
8,14,6014,13.5,14.5,521,0.08663119388094447,COUNT_ONLY,True,7.6907609446412595,16.14920308513192,355,0
8,15,6014,14.5,15.5,140,0.023279015630196208,COUNT_ONLY,True,7.6907609446412595,16.14920308513192,355,0
8,16,6014,15.5,16.5,7,0.0011639507815098104,COUNT_ONLY,True,7.6907609446412595,16.14920308513192,355,0
8,17,6014,16.5,17.5,0,0.0,EMPTY,False,7.6907609446412595,16.14920308513192,355,0
8,18,6014,17.5,18.5,0,0.0,EMPTY,False,7.6907609446412595,16.14920308513192,355,0
8,19,6014,18.5,19.5,0,0.0,EMPTY,False,7.6907609446412595,16.14920308513192,355,0
8,20,6014,19.5,20.5,0,0.0,EMPTY,False,7.6907609446412595,16.14920308513192,355,0
9,10,5997,9.5,10.5,494,0.08237452059363015,COUNT_ONLY,True,8.417981948868972,16.936852482468375,73,0
9,11,5997,10.5,11.5,1117,0.18625979656494915,COUNT_ONLY,True,8.417981948868972,16.936852482468375,73,0
9,12,5997,11.5,12.5,1570,0.26179756544939137,COUNT_ONLY,True,8.417981948868972,16.936852482468375,73,0
9,13,5997,12.5,13.5,1549,0.2582958145739536,COUNT_ONLY,True,8.417981948868972,16.936852482468375,73,0
9,14,5997,13.5,14.5,817,0.13623478405869602,COUNT_ONLY,True,8.417981948868972,16.936852482468375,73,0
9,15,5997,14.5,15.5,308,0.05135901283975321,COUNT_ONLY,True,8.417981948868972,16.936852482468375,73,0
9,16,5997,15.5,16.5,67,0.011172252793063199,COUNT_ONLY,True,8.417981948868972,16.936852482468375,73,0
9,17,5997,16.5,17.5,2,0.00033350008337502084,COUNT_ONLY,False,8.417981948868972,16.936852482468375,73,0
9,18,5997,17.5,18.5,0,0.0,EMPTY,False,8.417981948868972,16.936852482468375,73,0
9,19,5997,18.5,19.5,0,0.0,EMPTY,False,8.417981948868972,16.936852482468375,73,0
9,20,5997,19.5,20.5,0,0.0,EMPTY,False,8.417981948868972,16.936852482468375,73,0
10,10,5933,9.5,10.5,218,0.03674363728299343,COUNT_ONLY,True,9.08143648631459,17.496748319100064,9,0
10,11,5933,10.5,11.5,898,0.15135681779875274,COUNT_ONLY,True,9.08143648631459,17.496748319100064,9,0
10,12,5933,11.5,12.5,1596,0.26900387662228215,COUNT_ONLY,True,9.08143648631459,17.496748319100064,9,0
10,13,5933,12.5,13.5,1568,0.2642845103657509,COUNT_ONLY,True,9.08143648631459,17.496748319100064,9,0
10,14,5933,13.5,14.5,1023,0.1724254171582673,COUNT_ONLY,True,9.08143648631459,17.496748319100064,9,0
