grid_n,split,frequency_hz,lp_bin,ls_bin,k_bin,empty_all_q,unobserved_is_not_proven_unreachable,lp_low_nh,lp_high_nh,ls_low_nh,ls_high_nh,k_low,k_high,N_strict_core_all_q,N_strict_core_q10_20,N_q_below10,N_q10_12,N_q12_14,N_q14_16,N_q16_18,N_q18_20,N_q_above20
8,train,15000000000,2,6,6,True,True,0.875,1.0625,1.625,1.8125,0.6875,0.7687499999999998,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,6,7,True,True,0.875,1.0625,1.625,1.8125,0.7687499999999998,0.85,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,7,0,True,True,0.875,1.0625,1.8125,2.0,0.2,0.28125,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,7,1,False,True,0.875,1.0625,1.8125,2.0,0.28125,0.3625,1,1,0,1,0,0,0,0,0
8,train,15000000000,2,7,2,True,True,0.875,1.0625,1.8125,2.0,0.3625,0.44375,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,7,3,True,True,0.875,1.0625,1.8125,2.0,0.44375,0.5249999999999999,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,7,4,True,True,0.875,1.0625,1.8125,2.0,0.5249999999999999,0.60625,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,7,5,True,True,0.875,1.0625,1.8125,2.0,0.60625,0.6875,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,7,6,True,True,0.875,1.0625,1.8125,2.0,0.6875,0.7687499999999998,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,7,7,True,True,0.875,1.0625,1.8125,2.0,0.7687499999999998,0.85,0,0,0,0,0,0,0,0,0
8,train,15000000000,3,0,0,False,True,1.0625,1.25,0.5,0.6875,0.2,0.28125,5,5,0,0,2,3,0,0,0
8,train,15000000000,3,0,1,False,True,1.0625,1.25,0.5,0.6875,0.28125,0.3625,1,1,0,0,0,1,0,0,0
8,train,15000000000,3,0,2,True,True,1.0625,1.25,0.5,0.6875,0.3625,0.44375,0,0,0,0,0,0,0,0,0
